4510172613626425, 2021/06, 155
4510175131035367, 2022/08, 796
4510176682304673, 2022/05, 138
4510173870586047, 2021/02, 844
4510171034021356, 2022/05, 195
4510174124836063, 2022/11, 969
4510172224427635, 2021/09, 503
4510175016464583, 2021/07, 110
4510171430051882, 2021/05, 993
4510177445574016, 2021/08, 481
4510173865746788, 2022/06, 152
4510175374241367, 2021/05, 379
4510175358812621, 2022/09, 823
4510176564422155, 2022/07, 155
4510174225824620, 2021/09, 500
4510173064188816, 2021/09, 834
4510170510750462, 2021/12, 685
4510175507450323, 2021/04, 407
4510174034412344, 2022/09, 976
4510173185840378, 2022/04, 491
4510171632438622, 2021/07, 792
4510170686771714, 2021/05, 340
4510176681465657, 2022/01, 914
4510170722383151, 2022/04, 997
4510173874588114, 2022/09, 844
4510170454323631, 2022/03, 809
4510175551261550, 2021/08, 424
4510174707684542, 2021/11, 888
4510173300343167, 2022/09, 528
4510174607618483, 2022/01, 220
4510178516663647, 2021/08, 460
4510171748832403, 2021/05, 354
4510175640444282, 2021/11, 970
4510174664875588, 2021/05, 991
4510173871688214, 2021/03, 154
4510177506726372, 2022/12, 820
4510178556088523, 2022/08, 382
4510173822537288, 2022/12, 760
4510178172578865, 2021/10, 723
4510174786878486, 2021/07, 432
4510173505205260, 2021/01, 234
4510176010366717, 2022/04, 860
4510170132811486, 2021/04, 391
4510173052706348, 2021/08, 322
4510177134215616, 2022/04, 790
4510175448473707, 2022/02, 556
4510175433841314, 2021/08, 787
4510174463003820, 2021/05, 822
4510176420213277, 2021/07, 895
4510177576002175, 2021/01, 461
4510172528801063, 2021/03, 147
4510175351062588, 2022/04, 389
4510170104016858, 2021/01, 184
4510175605252324, 2021/05, 896
4510178280873232, 2022/02, 271
4510177131580640, 2021/11, 661
4510172173236086, 2021/06, 575
4510173068507458, 2021/01, 246
4510172823371044, 2021/10, 533
4510171176258261, 2021/06, 399
4510174425312210, 2022/03, 986
4510177274421313, 2021/03, 516
4510176617053262, 2022/06, 362
4510170420036564, 2022/07, 320
4510177545134810, 2021/05, 386
4510178022136575, 2022/02, 718
4510173327873022, 2021/05, 527
4510170824361550, 2021/09, 507
4510171153166271, 2022/02, 429
4510173782146278, 2021/08, 923
4510178425877734, 2021/07, 606
4510177163822068, 2021/03, 363
4510173330083320, 2021/10, 214
4510173883802787, 2021/04, 626
4510177317088848, 2021/05, 428
4510170738057781, 2022/11, 167
4510173262443476, 2021/12, 644
4510176022823432, 2021/07, 632
4510178656884631, 2021/05, 698
4510177854072544, 2021/11, 111
4510172807867660, 2021/06, 622
4510178873540453, 2021/06, 964
4510173121681175, 2021/05, 544
4510176531246018, 2021/01, 834
4510178687371525, 2022/01, 285
4510176624055177, 2022/07, 468
4510175856151050, 2021/11, 370
4510176787008765, 2022/12, 462
4510177314711822, 2022/09, 563
4510176676567335, 2022/08, 758
4510174365163516, 2021/01, 677
4510172263257588, 2021/01, 637
4510178748565040, 2021/07, 659
4510177788377522, 2021/06, 869
4510177021744645, 2022/04, 407
4510175380462023, 2021/06, 331
4510178114305872, 2021/04, 129
4510174387173402, 2022/12, 541
4510178603527341, 2022/08, 107
4510177360238662, 2021/08, 850
